rank,train_id,train_name,criterion_code,criterion_name,raw_value,normalized_value,weight,weighted_value,data_status
1,1,WSP Train (pond series),C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
1,1,WSP Train (pond series),C2,standard_fit,1.0,0.38313051408846055,0.24026175973824024,0.09205161152431017,known
1,1,WSP Train (pond series),C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
1,1,WSP Train (pond series),C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
1,1,WSP Train (pond series),C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
1,1,WSP Train (pond series),C7,footprint,7.0,0.8829503854616095,0.1157058842941157,0.10216255513766585,known
1,1,WSP Train (pond series),C8,om,0.19999999999999998,0.7738865646667509,0.13655686344313656,0.10567952193167557,known
2,3,DEWATS modular train,C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
2,3,DEWATS modular train,C2,standard_fit,1.0,0.38313051408846055,0.24026175973824024,0.09205161152431017,known
2,3,DEWATS modular train,C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
2,3,DEWATS modular train,C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
2,3,DEWATS modular train,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
2,3,DEWATS modular train,C7,footprint,10.3,0.8277698528935111,0.1157058842941157,0.09577784282105377,known
2,3,DEWATS modular train,C8,om,0.19999999999999998,0.7738865646667509,0.13655686344313656,0.10567952193167557,known
3,4,Septic + HSSF + polishing,C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
3,4,Septic + HSSF + polishing,C2,standard_fit,0.75,0.2873478855663454,0.24026175973824024,0.06903870864323262,known
3,4,Septic + HSSF + polishing,C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
3,4,Septic + HSSF + polishing,C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
3,4,Septic + HSSF + polishing,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
3,4,Septic + HSSF + polishing,C7,footprint,13.0,0.7826221444287034,0.1157058842941157,0.09055398728928025,known
3,4,Septic + HSSF + polishing,C8,om,0.2,0.7738865646667508,0.13655686344313656,0.10567952193167555,known
4,5,VF nitrifying hybrid,C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
4,5,VF nitrifying hybrid,C2,standard_fit,1.0,0.38313051408846055,0.24026175973824024,0.09205161152431017,known
4,5,VF nitrifying hybrid,C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
4,5,VF nitrifying hybrid,C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
4,5,VF nitrifying hybrid,C6,hydrologic_fit,1.0,0.35355339059327373,0.057252942747057244,0.020241972029664667,known
4,5,VF nitrifying hybrid,C7,footprint,14.0,0.765900770923219,0.1157058842941157,0.08861922598121598,known
4,5,VF nitrifying hybrid,C8,om,0.3333333333333333,0.6231442744445848,0.13655686344313656,0.08509462759070156,known
5,2,UASB-based STP,C1,treatment_fit,1.0,0.35355339059327373,0.24026175973824024,0.08494535978536134,known
5,2,UASB-based STP,C2,standard_fit,0.5,0.19156525704423027,0.24026175973824024,0.046025805762155085,known
5,2,UASB-based STP,C3,site_fit,1.0,0.3779644730092272,0.09425490574509425,0.03562500577847893,known
5,2,UASB-based STP,C4,source_fit,0.5,0.37555788309433985,0.1157058842941157,0.043454256967056716,known
