rank,train_id,train_name,confidence_label,confidence_score,confidence_cap,usable_parameter_count,key_parameters_present,key_parameters_missing,performance_completeness,criteria_completeness,site_context_completeness,source_coverage,method_confidence_cap,confidence_explanation
1,5,VF nitrifying hybrid,high,0.85275,0.9,6,bod|cod|ph|tss,,1.0,1.0,0.8500000000000001,0.75,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
2,3,DEWATS modular train,high,0.8865,0.9,6,bod|cod|ph|tss,,1.0,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
3,1,WSP Train (pond series),medium,0.7244999999999999,0.9,6,bod|cod|ph|tss,,0.4,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
4,4,Septic + HSSF + polishing,high,0.8865,0.9,6,bod|cod|ph|tss,,1.0,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
5,6,French VF (no primary),high,0.8865,0.9,6,bod|cod|ph|tss,,1.0,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
6,2,UASB-based STP,medium,0.7244999999999999,0.9,6,bod|cod|ph|tss,,0.4,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
7,8,Pond + sewage-fed aquaculture,high,0.7785,0.9,6,bod|cod|ph|tss,,0.6,1.0,0.8500000000000001,1.0,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
8,7,On-site disposal,low,0.4766785714285715,0.9,6,bod|cod|ph|tss,,0.0,0.5714285714285714,0.8500000000000001,0.25,0.9,"['6 usable water-quality parameter(s) informed this result.', 'The BOD, COD, TSS, and pH screening completeness panel is present.', 'Confidence also reflects canonical evidence coverage, source type, and site context completeness.', 'A documented rule-based data cap of 90% applies to this input.', 'C5 health-risk integration remains reserved for future expert data.']"
