rank,train_id,train_name,criterion_code,criterion_name,raw_value,normalized_value,weight,weighted_value,data_status
7,8,Pond + sewage-fed aquaculture,C3,site_fit,1.0,0.3779644730092272,0.09970490029509972,0.037684910096474906,known
7,8,Pond + sewage-fed aquaculture,C4,source_fit,0.5,0.37555788309433985,0.11390588609411391,0.04277825345349042,known
7,8,Pond + sewage-fed aquaculture,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
7,8,Pond + sewage-fed aquaculture,C7,footprint,54.0,0.09704583070384465,0.09975490024509975,0.009680797161064863,known
7,8,Pond + sewage-fed aquaculture,C8,om,0.275,0.6890940264167824,0.11390588609411391,0.07849186568116434,known
8,7,On-site disposal,C1,treatment_fit,,0.36550981135971566,0.2583127416872584,0.09441584148592076,unknown_median_imputed
8,7,On-site disposal,C2,standard_fit,,0.3525178941033419,0.2583127416872584,0.09105986371965286,unknown_median_imputed
8,7,On-site disposal,C3,site_fit,0.0,0.0,0.09970490029509972,0.0,known
8,7,On-site disposal,C4,source_fit,0.15,0.11266736492830194,0.11390588609411391,0.012833476036047125,known
8,7,On-site disposal,C6,hydrologic_fit,1.0,0.35355339059327373,0.056102943897056105,0.0198353860370684,known
8,7,On-site disposal,C7,footprint,,0.8277698528935111,0.09975490024509975,0.0825740991012931,unknown_median_imputed
8,7,On-site disposal,C8,om,0.2,0.7738865646667508,0.11390588609411391,0.08815023488469603,known
