rank,train_id,train_name,confidence_label,confidence_score,confidence_cap,usable_parameter_count,key_parameters_present,key_parameters_missing,performance_completeness,criteria_completeness,method
1,5,VF nitrifying hybrid,high,0.8264,0.9,6,bod|cod|ph|tss,,1.0,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
2,3,DEWATS modular train,high,0.8601,0.9,6,bod|cod|ph|tss,,1.0,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
3,1,WSP Train (pond series),medium,0.6981,0.9,6,bod|cod|ph|tss,,0.4,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
4,4,Septic + HSSF + polishing,high,0.8601,0.9,6,bod|cod|ph|tss,,1.0,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
5,6,French VF (no primary),high,0.8601,0.9,6,bod|cod|ph|tss,,1.0,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
6,2,UASB-based STP,medium,0.6981,0.9,6,bod|cod|ph|tss,,0.4,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
7,8,Pond + sewage-fed aquaculture,high,0.7521,0.9,6,bod|cod|ph|tss,,0.6,0.8571,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
8,7,On-site disposal,low,0.4503,0.9,6,bod|cod|ph|tss,,0.0,0.4286,"rule-based weighted factors (perf 0.30, panel 0.20, input 0.15, source 0.15, site 0.10, criteria 0.10) x data-completeness cap; separate from TOPSIS Ci"
