rank,train_id,train_name,confidence_label,confidence_score,confidence_explanation
1,1,WSP Train (pond series),medium,0.7244999999999999,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
2,3,DEWATS modular train,high,0.8865,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
3,4,Septic + HSSF + polishing,high,0.8865,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
4,5,VF nitrifying hybrid,high,0.85275,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
5,2,UASB-based STP,medium,0.7244999999999999,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
6,6,French VF (no primary),high,0.8865,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
7,8,Pond + sewage-fed aquaculture,high,0.7785,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
8,7,On-site disposal,low,0.4766785714285715,"6 usable water-quality parameter(s) informed this result. | The BOD, COD, TSS, and pH screening completeness panel is present. | Confidence also reflects canonical evidence coverage, source type, and site context completeness. | A documented rule-based data cap of 90% applies to this input. | C5 health-risk integration remains reserved for future expert data."
