criterion,criterion_name,top_weighted_value,second_weighted_value,top_minus_second,direction,weight
C1,treatment_fit,0.081891154,0.081891154,0.000000000,benefit,0.231623162
C2,standard_fit,0.088741901,0.088741901,0.000000000,benefit,0.231623162
C3,site_fit,0.035948016,0.035948016,0.000000000,benefit,0.095109511
C4,source_fit,0.043569071,0.043569071,0.000000000,benefit,0.116011601
C6,hydrologic_fit,0.019412022,0.019412022,0.000000000,benefit,0.054905491
C7,footprint,0.102432488,0.096030906,0.006401582,cost,0.116011601
C8,om,0.119732225,0.119732225,0.000000000,cost,0.154715472
