option,C1,C2,C3,C4,C6,C7,C8
DEWATS modular train,0.875,0.9,1.0,0.5,1.0,10.3,0.19999999999999998
VF nitrifying hybrid,1.0,0.9,1.0,0.5,1.0,14.0,0.3333333333333333
Septic + HSSF + polishing,0.8619318181818182,0.7,1.0,0.5,1.0,13.0,0.2
French VF (no primary),0.8221428571428572,0.8,1.0,0.5,1.0,5.0,0.6
UASB-based STP,0.9329545454545455,0.5,1.0,0.5,1.0,3.05,0.275
Pond + sewage-fed aquaculture,1.0,1.0,1.0,0.5,1.0,54.0,0.275
WSP Train (pond series),0.71,0.25,1.0,0.5,1.0,7.0,0.19999999999999998
On-site disposal,0.875,0.8,0.0,0.15,1.0,10.3,0.2
