scenario,region_id,station,district,profile_label,profile_values,top_train,Ci,match_percent,confidence,design_readiness,stream_order,soil_type,infiltration_class,safety_placement_warning,off_channel_mainstem_warning,filtered_or_cautioned_train_set,applicability_rules_fired
Khandwa / Indira Sagar,27,Indirasagar Dam,Khandwa,"Domestic sewage — combined municipal (medium-strong, India)","{""ammonia_n"": 40.0, ""bod"": 250.0, ""cod"": 500.0, ""ph"": 7.4, ""total_phosphorus"": 12.0, ""tss"": 250.0}",DEWATS modular train,0.8581026227074282,85.8,high,Expert review needed,7,Clay,low,"Municipal influent fallback used: Domestic sewage — combined municipal (medium-strong, India). Concentrated blackwater is not used as town-scale municipal default. | Criterion 'evidence_strength' has no variation and was not normalized. | Criterion 'removal_evidence_coverage' has no variation and was not normalized. | Loaded canonical criteria_weights for TOPSIS. | Loaded canonical criteria_weights for TOPSIS. C5 health-risk integration remains reserved for future expert data. | Some normalized MCDA criteria do not have supplied weights: removal_evidence, footprint, climate_site_suitability, maintenance_indicator, implementation_complexity, catalogue_criteria, site_suitability_breakdown, hydrological_suitability_breakdown, pollution_source_fit_breakdown, footprint_requirement_breakdown, om_simplicity_breakdown, evidence_strength, evidence_strength_breakdown. | Supplied weights are marked temporary_not_expert_validated. Do not treat them as final AHP/expert weights. | TOPSIS ranking uses temporary_not_expert_validated weights and must be treated as provisional. | Confidence scoring detected temporary_not_expert_validated weights; the TOPSIS ranking remains provisional. | No explicit plant mappings were found for nbs_id 24. | No explicit plant mappings were found for nbs_id 18. | No explicit plant mappings were found for nbs_id 14. | No explicit plant mappings were found for nbs_id 26. | No explicit plant mappings were found for nbs_id 19. | No explicit plant mappings were found for nbs_id 13. | No explicit plant mappings were found for nbs_id 28. | No explicit plant mappings were found for nbs_id 25. | No explicit plant mappings were found for nbs_id 27. | No explicit plant mappings were found for nbs_id 10. | Assembled recommendations use temporary_not_expert_validated weights and remain provisional. | Warning: TOPSIS ranking is provisional because weights are temporary and not expert validated. | Warning: 1 caution flag(s) reduce confidence but do not remove the candidate. | Treatment-train ranking uses provisional criteria_weights with TOPSIS; C5 health-risk remains reserved for future integration. | Method: A0 safety/applicability screening -> criteria-weighted TOPSIS treatment-train ranking -> confidence and design-readiness checks. | Conditional: requires confirmed soil/infiltration and groundwater/flood safety checks.",Off-channel/source-control placement required for mainstem or high-order context.,On-site disposal: conditional,On-site disposal: These systems depend on adequate infiltration and unsaturated soil treatment depth.
Dindori,16,Dindori,Dindori,"Domestic sewage — combined municipal (medium-strong, India)","{""ammonia_n"": 40.0, ""bod"": 250.0, ""cod"": 500.0, ""ph"": 7.4, ""total_phosphorus"": 12.0, ""tss"": 250.0}",DEWATS modular train,0.8581026227074282,85.8,high,Ready for planning,4,Loam,low,"Municipal influent fallback used: Domestic sewage — combined municipal (medium-strong, India). Concentrated blackwater is not used as town-scale municipal default. | Criterion 'pollution_source_fit' has no variation and was not normalized. | Criterion 'evidence_strength' has no variation and was not normalized. | Criterion 'removal_evidence_coverage' has no variation and was not normalized. | Loaded canonical criteria_weights for TOPSIS. | Loaded canonical criteria_weights for TOPSIS. C5 health-risk integration remains reserved for future expert data. | Some normalized MCDA criteria do not have supplied weights: removal_evidence, footprint, climate_site_suitability, maintenance_indicator, implementation_complexity, catalogue_criteria, site_suitability_breakdown, hydrological_suitability_breakdown, pollution_source_fit_breakdown, footprint_requirement_breakdown, om_simplicity_breakdown, evidence_strength, evidence_strength_breakdown. | Supplied weights are marked temporary_not_expert_validated. Do not treat them as final AHP/expert weights. | TOPSIS ranking uses temporary_not_expert_validated weights and must be treated as provisional. | Confidence scoring detected temporary_not_expert_validated weights; the TOPSIS ranking remains provisional. | No explicit plant mappings were found for nbs_id 24. | No explicit plant mappings were found for nbs_id 18. | No explicit plant mappings were found for nbs_id 14. | No explicit plant mappings were found for nbs_id 26. | No explicit plant mappings were found for nbs_id 19. | No explicit plant mappings were found for nbs_id 13. | No explicit plant mappings were found for nbs_id 28. | No explicit plant mappings were found for nbs_id 25. | No explicit plant mappings were found for nbs_id 27. | No explicit plant mappings were found for nbs_id 10. | Assembled recommendations use temporary_not_expert_validated weights and remain provisional. | Warning: TOPSIS ranking is provisional because weights are temporary and not expert validated. | Warning: 1 caution flag(s) reduce confidence but do not remove the candidate. | Treatment-train ranking uses provisional criteria_weights with TOPSIS; C5 health-risk remains reserved for future integration. | Method: A0 safety/applicability screening -> criteria-weighted TOPSIS treatment-train ranking -> confidence and design-readiness checks. | Conditional: requires confirmed soil/infiltration and groundwater/flood safety checks.",,On-site disposal: conditional,On-site disposal: These systems depend on adequate infiltration and unsaturated soil treatment depth.
